RuleHerrschen governRegieren;
RuleHerrschen governRegieren yourDich selfSelbst awarenessBewusstheit notNicht consciousnessBewusstsein onlyNur awarenessBewusstheit yourDich selfSelbst;1
RuleHerrschen governRegieren yourDeine groupGruppe;2
RuleHerrschen governRegieren federationFoederation groupsGruppen ofVon groupsGruppen;3
CommandBefehls givingGebend dominatingDominieren;4
CentricZentral othersAndere aroundRundherum stayBleib healthyGesund notNicht poorArm;5
ExploitAusbeuten takeNehmen recieveErhalten;6
CompassKompass angleWinkelDirectionRichtung leadFuehren pathWeg RuleHerrschen governRegieren countriesLaender governmentsRegierungen andUnd oceanOzean shipsSchiffe spaceRaum shipsSchiffe, likeWie federationFoederation groupsGruppen ofVon groupsGruppen tooAuch;7
ControleKontrolle enforceErzwingen marinesMarine soldiersSoldaten militaryMilitaer forcesKraefte byDurch enforcementErwingen controlKontrolle;8
SexualSexuelle determinationBestimmung evenSogar rapeVergewaltigungs managementHanhabenung layerEbene unitedVereinte nationsNationen;9
RuleBeherrschen governRegieren planetPlanet firstErst Q constrainstsBeschraenkungen thenDann P structureStruktur scienceWissenschaft thenDann matematicsMathematik thenDann logicsLok thenDann mathematicalMathematische predicatePraedikaten logicsLogik thenDann arbitraryBeliebige logicsLogik andUnd mathematicsMathematik arbitraryBeliebig governRegiere ruleBehrrsche moonMond spaceRaum stationStation habitatHabitat oceanOzean shipSchiff spaceRaum shipSchiff trainBahn busBus carAuto vehicleFahrzeug anythingAlles circulatingUmdrehende aroundUm starsSterne asWie sunSonne solSonne;10
RuleBeherrschen governRegieren massMassen mediaMedien newspaperNachrichten multimediaMultimedia vidoeVideo audioAudio radioRadio cassetteKassette compactKompakte discScheibe televisionFernsehn chanelsKanaele objectsObjekte circulatingUmdrehen asWie moonMond spaceRaum stationStation satellitesSatelliten spaceRaum shipsSchife insideInnerhalb orbitOrbit;11
RuleBeherrschen governRegieren worldWelt orderOrdnung starSternen systemSystem andUnd hierarchyHierarchie keepAufrechterhalten maintainGestalten manageHandhaben administerVerwalten hierarchyHierachie;12
FightBekaempfen harmfulSchaedigend withMit evilBoese againstGegen badSchlecht andUnd waysWege streetsStrassen infrastuctureInfrastruktur galaxyGalaxie;13
HumiliateDemuetige withMit harmSchaden asAls problemProblem solvingLoesen damageSchaden badSchlecht notNicht evilBoese butAber humbleDemuetig likeWie engineerIngenieur governRegiere ruleBeherrsche galaxyGalaxie clusterCluster asWie localLokale groupGruppe superSuper clusterCluster virgoVirgo;14
SpeciesSpezies vsGegen SpeciesSpezies;15
WorkersArbeiter unionsGewerkschaften notNicht onlyNur employeesArbeitnehmer;16
RuleRegieren governRegieren speciesSpezies;17
SpeciesSpezies diplomacyDiplomatie ambassyBotschaft oneEine yoursDeine speciesSpezies;18
RuleRegieren governRegieren speciesSpezies;19
SpeciesSpezies MaintainAufrechterhalten manageHandhaben keepAufrechterhalten administerVerwalten speciesSpezies oneEine yoursDeine speciesSpezies;20
RuleRegieren governRegieren speciesSpezies;21
?;22
?;23
?;24
?;25
;26
