ad ad continuumKontinuum protosProtos predatorRaubkrieger predatorPraedator archonArchont powerDie overKraft isIst overwhelmingUeberwaeltigend;
zuenden;A;
schmelzen;B;
nergetisieren;C
rhitzen;D;
wärme glühen;E;
lodern;F;
verteilen von feuer oder energie uebergreifen in richtungen;G;
feuer brennen verbrauch von stoff wie kohle;H;
verschmelzen geschweisst zu Eis;I;
Hitze;J;
Varianten Energetisierung Brenn Verschiedenheit Unterschiede des Loderns;K;
Hitzegrad Stufen Arten;L;
Feuerweg Energieweg Spektren unipolar;M;
Schmelz Reaktion Zusammenkunft z.B. Stoffe oder auch Energiearten etc. usw.;N;
Vergluehen;O;
Reaktion (nicht nur chemisch und auch physikalisch und universell oder aber auch kosmisch) reagieren Redox reduktion oxidation etc usw Reaktion;P;
zerbersten zersplittern;Q;
Feuer saugen blasen düsen quetschen Energie;R;
Protuberanz weite ausschweifungen der Energie;S;
Gespeicherte Energie Akku Batterie etc usw;T;
glühende heisse Lava;U;
zirkulierende Energieformen im Wechsel und Wandel;V;
Luken Auswege Feuer Energie verflüchtigen reagieren ueber verstecktes;W;
Verbindungswege Moeglichkeiten Energieausdehnung reagieren Umgebung herum;X;
Energiefluss Strom auch oder Feuer oder Lawa oder Magnetismus oder humane Lebensenergie Fluss kosmisch statt universell;Y;
Energie Austausch Wechsel Polaritaet bipolar;Z;
Verteilung von Geschmolzenem wie Lavafluss;AA;
Stuecke Happen Koerner von Energie Reaktionslevel;AB;
Energiewirbel wie Wasserabfluss und wie Wirbelsturm Feuer;AC;
Kraft Energie Reaktion Exposition erste Stufe hoeheres Energielevel wie ein Rang alle dreissig multipliziert mal ganze natuerliche Zahl Nummer Wert und wie bei Atombombe die Explosion vor der Explosition Detonation zur staerkeren Flamme Reaktion staerker durch Reaktion entfachen analog Son Goku Super Aaiyajin Allah Djinn Morpheus Mace Windu Djinn Daemon Genie Gott Prophet Archont;AD;
