Rang-Hierarchie Star Trek;Hierarchie: für Wechsel zwischen Feindschaft oder Allianz oder nur Hierarchie mit offen unbekannt ob Krieg, etc.;Zeitalter Weltordnung
;?;Urzeit, Steinzeit, etc.
cadetKadett;?;Nomaden-Zeitalter
;?;föderales Zeitalter, z.B. zwölf Stämme Israels oder germanische Stämme, Ackerbau, Landwirtschaft, Siedlungen, Zivilisations-Beginn siehe Schriften Moses altes Testament Bibel
crewmenBesatzungsmitglied;?;imperiales Zeitalter: z.B. römisches Imperium, Persien, griechisch antikes Imperium, chinesisches Reich, Byzanz
;?;?
Non-commissioned-officerUnteroffizier;?;Merkantilismus Kapitalismus Marktwirtschaft, Anfänge
;?;ab erstem Messias Jesus Christus: aber intelligenter Selbstmord über Judas woran Silikoiden schuld sind, die ihre Hölle behalten wollen. Eigentlich Unsterblicher begeht Selbstmord: Spezies hat großes Pech. Kohlenstoff braucht Germanium.
commanderKommandant, asWie forZum exampleBeispiel  CaptainKapitän;?;militärisch Raum-konservatives Zeitalter der Gerechtigkeit durch Gewalt und göttliches Recht, ab Mohammed Islam Moslems, Weltordnung oder Zeitalter der evolutionären Verschlechterung genauer gesagt geschrieben entgegen optimal als Spezialverschlechterung
;Zerg von Antares;Weltordnung oder Zeitalter Vereinte Nationen, Einheit, Reproduktion, Fortpflanzung, Lust, Städte, Metropolen, Weltordnung oder Zeitalter der evolutionären Verschlechterung genauer gesagt geschrieben entgegen optimal als Spezialverschlechterung
admiralAdmiral, correspondsEntspricht certainlySicherlich generalGeneral, ifWenn ItEs isGeht aboutUm groundBoden troopsTruppen instead-ofStatt shipsSchiffe;Menschen Leute Menschheit;Weltordnung oder Zeitalter vollständiger gesamter totaler kompletter Planet, mathematisch, Prädikatenlogik, Strukturwissenschaften wo nur eine davon Mathematik ist, vielleicht auch mathematische Physik, Computer, Rechner, Machiavellisten, Globalisten
;Protos;Weltordnung Zeitalter mit Massenmedien Unterhaltung Verhaltensweisen, Robotik, Androiden, Chaos, Spaß, Witz, Humor, Systemtheorie – erweitert u.a. auch Spieltheorie, nach Strukturwissenschaften wie Mathematik kommen Systemwissenschaften oder Verhaltenswissenschaften, Kolonisierung des Erdtrabentens Mond um Planet Erde
RikerRiker;?;Zeitalter und Weltordnung mit und durch Kybernetik Cyborgs Koordinaton fixiert Sonnen-Sternen-System, Cyberspace statt Computer-Internet als etwas anderes höheres
ab hier Dreizehn ist Hierarchie nicht mehr genügend ausreichend, z.B. muss es ab der Vierzehn weiterhin noch der Abstrakt Syntax Baum für Formeln und Formulierungen und formale Methoden sein, um inter Galaktische Galaxie Cluster zu Fusionieren auf eins vom Vielen;?;?
BarclayBarcelay;?;?
O 15;?;?
P 16;?;?
Q 17;?;?
R 18;?;?
S 19;?;?
T 20;?;?
U 21;?;föderales Zeitalter, z.B. zwölf Stämme Israels oder germanische Stämme, Ackerbau, Landwirtschaft, Siedlungen, Zivilisations-Beginn siehe Schriften Moses altes Testament Bibel
V 22;?;Weltordnung Wissenschaft Forschung Universitäten Professoren Wissenschaftler Forscher: unglaublicher Bösartigkeitsgrad heute
W 23;?;Geheimdienst-basierte Weltordnung, einheitlich, Einigung, offiziell und tätlich politisch aber tatsächlich Ebene Vereinte Nationen Einigung Planet Menschheit: heute unglaublich bösartig unvorstellbar
X 24;?;X Netzwerk-basierte Weltordnung
Y 25;?;Welt-Bevölkerung, Welt-Bürgertum
Z 26;?;bidirektionale unilaterale koopertive, ggf. auf Stern-Topologie basierende, Beziehungen unseres Heimatplaneten Erde mit wahrscheinlich als erstes Nachbar Sternen-System Centauri Vulkanier, aber weitere
AA 27;?;unilateral, Urlaubsplanet Erde: Außerirdische klauen uns unsere Frauen oder hoffentlich doch nicht so übel, mal sehen. Oder wir klauen deren Frauen. Jedenfalls Urlaub. Kennt man.
AB 28;?;Multilateral, Sternenflotte Föderation von Star Trek oder anstelle auf Typ drei basierend, wäre z.B. auch Konföderation Typ sechs  oder Imperium Typ vier denkbar für die Galaxie
AC 29;?;Multilateral, Sektion Einunddreißig von Star Trek, die eigentlich eine Neunundzwanzig ist, also Think Tank oder Denkfabrik, d.h. wie Geheim-Organisation Zwei Punkt Null, naja, ein wenig doch schon aber statt Bedenken geht es um das nachdenkliche Ergründen analog Forschung, die aber auf einem Forschungsbaum basiert, also doch anders
AD 30;?;Multilateral
AE 31;?;Multilateral. Nein, das hier ist nicht Sektion Einunddreißig. Das ist diese Koderierung der Invertierung von pro-außen und pro-innen Primzahlen, wie vom Kornkreis von Arecibo. Dabei werden diese beiden Primzahlarten invertiert verdreht vertauscht welche neben sechs mal ganze natürliche Zahl liegen, wie sieben und fünf und hier einunddreißig und neunundzwanzig. Eigentlich ist Sektion Einunddreißig eine Organisation Neunundzwanzig mal Acht was Organisation Zweihundertzweiunddreißig ergibt: Raum-Zeit Denk-Fabrik.
AF 32;?;Multilateral
AG 33;?;Inter-multilateral, etwas komplexer als multilateral mit Management von halben Feindschaften ist inter-multilateral, wenn multilateral nicht kompliziert genug ist und einem langweilig ist, weil es sonst nicht zu tun gibt. Das Leben ist nicht schwer genug: achso. Haha
