Regierer Planet Spalte fortgesetzt;Z Kontinuum Bilateral Bijektiv Bidirektional (oder Personalcomputer anschalten oder Spermium und weibliche Eizelle kommen für Fusion zusammen oder nach dem Tiefschlag anfangend so langsam in die Traumwelt oder wieder zurück oder das was hinter einem Wurmloch ist das andere Universum die andere Raumzeit oder der andere Ort im Universum)
planetPlaneten percieverWahrnehmer, planetPlaneten seeerSehender, planetsPlaneten phenomenasPhänomene recognizerBemerker;Anbahnung / Interessenabgleich
PlanetPlaneten-correctorKorrigierer orOder planetPlaneten determinatorBestimmer;Sondierungsgespräche
planetPlaneten inventoriorerInventurer orOder planetsPlaneten stocktakerBestandshalter orOder planetsPlaneten equipmentorerInventaror;Verhandlungen
planetPlaneten changorÄnderer orOder planetPlaneten elitorerElitetor orOder planetPlaneten planerPlaner orOder planetPlaneten schudulorerZeitplaner;Ratifizierung
planetPlaneten causalKausal chainKetten acknoligerBemerker, reasonorSchlussfolgerer orOder planetPlaneten concluderSchlussfolgerer, planetPlaneten centralizatorZentralisator, planetPlaneten crocodileKrokodil;Unterschrift auf hoher Ebene
planetPlaneten DJdj diskDisk jockeyJockey planetPlaneten rubberGummi bandBand elasticGummi strapBand plasticPlaste elasticElaste responsibleVerantwortliche;Ratifizierung
planetPlaneten navigatorNavigator planetPlaneten captainKapitän planetPlanete surferSurfer planetPlaneten browserSchmökerer;Implementierung
planetPlaneten densityDichte locatorLokator planetPlaneten spotPunkt locatorPositionsgeber planetPlaneten locusLokus;Monitoring und Streitbeilegung
planetPlaneten potentatorPentenziator planetPlaneten variablorVariebeler planetPlaneten unitorUnitator;Anpassung / Neuverhandlung
planetPlaneten effectorEffektor effectEffekt causerBewirker andUnd crocodileKrokodil determinorBestimmer ofVom planetPlaneten;Ausweitung oder Vertiefung
?;Institutionalisierung
?;Evaluation / Bilanzierung
?;Verlängerung oder Kündigung
?;Transformation oder Integration in multilaterale Rahmen
?;Historisierung und Archivierung (Abschlusslinie)
?;Zyklische Fortsetzung auf höherer Ebene (Rekursion)
?;Krise, Unterbrechung oder Gefriertiefe
?;Reaktivierung oder Wiederannäherung
?;Strategische Neuausrichtung
?;Integration in supranationale Architektur
?;Symbolische Umcodierung der Beziehung
?;Bildung eines bilateralen Gedächtnisraums
?;Export des Modells auf Drittakteure
?;Institutionelle Vererbung oder Fragmentierung
?;Normative Standardisierung
?;Übergang in systemische Kopplung
?;Auflösung in emergente Makrostruktur
?;Funktionale Replikation
?;Ideologische Umwertung
?;Semiologische Neucodierung
?;?
?;?
?;Technokratische Automatisierung
?;Kulturelle Ritualisierung
?;?
?;?
?;?
?;?
?;?
?;?
?;?
?;?
?;?
?;?
?;?
?;?
